Folder,Image_Count,Excel_Rows,Status,Actual_Seeds,Weight_g,Diam_mm,Container_H_mm,Empty_H_mm,Rice_H_mm,Folder_Size_MB,Note,Images
M001,5,5,KHỚP,85,2.69,17.8,33.9,10.9,23.0,9.62,Đạt chuẩn,"M001A.jpg, M001B.jpg, M001C.jpg, M001D.jpg, M001E.jpg"
M002,5,5,KHỚP,105,3.16,17.8,33.9,7.0,26.9,9.65,Đạt chuẩn,"M002A.jpg, M002B.jpg, M002C.jpg, M002D.jpg, M002E.jpg"
M003,5,5,KHỚP,115,3.36,17.8,33.9,6.4,27.5,33.25,Đạt chuẩn,"M003A.jpg, M003B.jpg, M003C.jpg, M003D.jpg, M003E.jpg"
M004,5,5,KHỚP,125,3.58,17.8,33.9,3.2,30.7,34.47,Đạt chuẩn,"M004A.jpg, M004B.jpg, M004C.jpg, M004D.jpg, M004E.jpg"
M005,6,5,LỆCH KHỚP,135,3.85,17.8,33.9,1.5,32.4,41.56,Thừa 1 ảnh (6 vs 5),"M005A.jpg, M005B.jpg, M005C.jpg, M005D.jpg, M005E.jpg, M005F.jpg"
M006,6,5,LỆCH KHỚP,145,4.01,17.8,33.9,0.8,33.1,41.67,Thừa 1 ảnh (6 vs 5),"M006A.jpg, M006B.jpg, M006C.jpg, M006D.jpg, M006E.jpg, M006F.jpg"
M007,5,5,KHỚP,30,0.76,17.8,33.9,27.2,6.699999999999999,11.26,Đạt chuẩn,"M007A.jpg, M007B.jpg, M007C.jpg, M007D.jpg, M007E.jpg"
M008,5,5,KHỚP,40,0.95,17.8,33.9,26.0,7.899999999999999,34.81,Đạt chuẩn,"M008A.jpg, M008B.jpg, M008C.jpg, M008D.jpg, M008E.jpg"
M009,5,5,KHỚP,50,1.21,17.8,33.9,23.0,10.899999999999999,34.72,Đạt chuẩn,"M009A.jpg, M009B.jpg, M009C.jpg, M009D.jpg, M009E.jpg"
M010,5,5,KHỚP,60,1.52,17.8,33.9,21.2,12.7,34.9,Đạt chuẩn,"M010A.jpg, M010B.jpg, M010C.jpg, M010D.jpg, M010E.jpg"
M011,6,5,LỆCH KHỚP,70,1.81,17.8,33.9,20.0,13.899999999999999,42.04,Thừa 1 ảnh (6 vs 5),"M011A.jpg, M011B.jpg, M011C.jpg, M011D.jpg, M011E.jpg, M011F.jpg"
M012,5,5,KHỚP,80,2.08,17.8,33.9,15.5,18.4,34.57,Đạt chuẩn,"M012A.jpg, M012B.jpg, M012C.jpg, M012D.jpg, M012E.jpg"
M013,5,5,KHỚP,75,1.92,17.8,33.9,17.3,16.599999999999998,35.15,Đạt chuẩn,"M013A.jpg, M013B.jpg, M013C.jpg, M013D.jpg, M013E.jpg"
M014,5,5,KHỚP,65,1.62,17.8,33.9,20.1,13.799999999999997,34.32,Đạt chuẩn,"M014A.jpg, M014B.jpg, M014C.jpg, M014D.jpg, M014E.jpg"
M015,5,5,KHỚP,55,1.38,17.8,33.9,21.8,12.099999999999998,33.82,Đạt chuẩn,"M015A.jpg, M015B.jpg, M015C.jpg, M015D.jpg, M015E.jpg"
M016,5,5,KHỚP,45,1.13,17.8,33.9,23.9,10.0,34.6,Đạt chuẩn,"M016A.jpg, M016B.jpg, M016C.jpg, M016D.jpg, M016E.jpg"
