Model ID,Display Name,Family,CV_MAE (hạt),CV_RMSE (hạt),CV_R2,Train_MAE (hạt),Test_MAE (hạt),Test_RMSE (hạt),Test_R2,Test_MAPE (%),Train_Time (s)
ard,8. ARD Regression (Bayesian Sparse),Linear,2.0633359966661047,3.0018318254086624,0.9985072701789545,1.6234443612082814,2.0542412558371796,3.041404317414083,0.9984655711172375,2.064326146200372,0.85
ridge_alpha_0_1,1. Ridge Regression (alpha=0.1),Linear,2.3348377757514873,3.3905830506007595,0.9980738805539456,1.6142419156201222,2.0061568220874357,3.2662874277366982,0.9982302690465089,2.058515687880594,0.17
bayesian_ridge,4. Bayesian Ridge Regression,Linear,2.3970626030291085,3.3925736601664847,0.9981980577902867,1.5856655447612307,2.070042819558513,3.0977292520502853,0.9984082115022822,2.0814903328163292,0.22
huber,5. Huber Regressor,Robust Linear,2.564433988015795,3.956167412417269,0.9971775150998969,1.4100798933519287,2.6975400106195826,4.64823753767876,0.9964159416161769,2.6895706385280467,13.1
elastic_net,6. ElasticNet (L1 + L2),Linear,3.323859814927895,4.461389603962556,0.9965051567872527,2.6212252321469958,3.743408358294435,4.726622279835825,0.9962940441256516,3.1278996672477852,0.46
extra_trees,"16. Extra Trees (Cực kỳ ngẫu nhiên, 100 trees)",Tree Ensemble,3.4952012195121944,4.931916926642403,0.9962965121330711,0.0,4.925490196078433,7.748769668311804,0.9900398941954164,4.585943145682883,0.78
ridge_alpha_1,3. Ridge Regularized (alpha=1.0),Linear,3.569398515564097,4.766798703805238,0.9960282222386161,2.5862462929712646,3.671696537880599,4.650532073838861,0.9964124023042273,3.079916644759847,0.09
ols,2. Ordinary Least Squares (OLS),Linear,4.683750435463869,9.62877417513623,0.9625124349830981,1.6067957854146353,2.0808952685785047,2.967876305505087,0.9985388660173287,2.016775318439548,0.17
random_forest_tree,"15. Random Forest (Tree Trainer, 100 trees)",Tree Ensemble,6.309384146341463,7.325916563049764,0.9924597293255422,0.3556650246305423,6.525490196078434,8.629225307741406,0.9876478639782906,5.622597399529152,1.88
gradient_boosting_v2,"12. Gradient Boosting (v2, 500 trees)",Tree Ensemble,6.394872811300495,7.431073839963419,0.9914427688253518,0.019401983808832735,6.9437037081255335,9.200720525317324,0.9859575745597583,5.742849971685461,7.79
random_forest_v2,"11. Random Forest (v2, 500 trees)",Tree Ensemble,6.513615920969274,7.3945176813294555,0.9922701849298065,0.3964627023223088,7.241161531279174,9.551147517867424,0.9848675393208559,6.056053125595182,9.94
gradient_boosting_tree,"17. Gradient Boosting (Tree Trainer, 100 trees)",Tree Ensemble,6.807412012423747,8.036980219571328,0.9895682648227394,0.03578969533096105,7.2359212127730075,8.704428073385337,0.9874316307816462,6.222857197973681,1.56
decision_tree,14. Decision Tree (Cây quyết định gốc),Tree,6.879268292682927,7.448526669466406,0.9923975475060092,0.0,6.862745098039215,7.669649888473704,0.9902422535929871,5.717414454035978,0.06
xgboost_v2,"13. XGBoost Regressor (v2, 600 trees)",Tree Ensemble,7.395842503803533,8.290459498365067,0.9904650993570723,0.01767063610659444,7.865628186394186,8.836486593672893,0.9870473779195759,6.446825358422273,3.03
hist_gradient_boosting,19. HistGradientBoosting,Tree Ensemble,8.130406211824633,9.840971340072816,0.9833543414743862,0.9160195499970787,10.085272422859639,13.679788808257495,0.9689574611107882,8.29026617006234,0.48
ada_boost,18. AdaBoost (50 trees),Tree Ensemble,11.811526120544148,13.016682134864258,0.9743751713082448,4.515059088128048,6.204254232311847,8.24415597337625,0.9887256672632432,4.853158008147288,0.38
pls,7. PLS Regression (Baseline fixed n_components=2),Linear,12.190837964957254,15.975473386571739,0.9644162591962763,11.501488837779972,13.543656309030274,16.160025995902142,0.9566805874463343,9.195814368508138,0.22
kernel_ridge_rbf,9. Kernel Ridge (RBF Kernel),Kernel,15.843328709592578,28.663371902454664,0.8084154348438666,9.455255638662784,9.17725283550153,13.885772722662676,0.9680155745521637,5.935847028314621,0.71
