source_row_id,Sample_ID,group_id,split_role,fold
5,M002a,M002,TRAIN,4
6,M002b,M002,TRAIN,4
7,M002c,M002,TRAIN,4
8,M002d,M002,TRAIN,4
9,M002e,M002,TRAIN,4
10,M003a,M003,TRAIN,0
11,M003b,M003,TRAIN,0
12,M003c,M003,TRAIN,0
13,M003d,M003,TRAIN,0
14,M003e,M003,TRAIN,0
20,M005a,M005,TRAIN,4
21,M005b,M005,TRAIN,4
22,M005c,M005,TRAIN,4
23,M005d,M005,TRAIN,4
24,M005e,M005,TRAIN,4
30,M007a,M007,TRAIN,3
31,M007b,M007,TRAIN,3
32,M007c,M007,TRAIN,3
33,M007d,M007,TRAIN,3
34,M007e,M007,TRAIN,3
35,M008a,M008,TRAIN,2
36,M008b,M008,TRAIN,2
37,M008c,M008,TRAIN,2
38,M008d,M008,TRAIN,2
39,M008e,M008,TRAIN,2
40,M009a,M009,TRAIN,1
41,M009b,M009,TRAIN,1
42,M009c,M009,TRAIN,1
43,M009d,M009,TRAIN,1
44,M009e,M009,TRAIN,1
45,M010a,M010,TRAIN,0
46,M010b,M010,TRAIN,0
47,M010c,M010,TRAIN,0
48,M010d,M010,TRAIN,0
49,M010e,M010,TRAIN,0
50,M011a,M011,TRAIN,3
51,M011b,M011,TRAIN,3
52,M011c,M011,TRAIN,3
53,M011d,M011,TRAIN,3
54,M011e,M011,TRAIN,3
55,M012a,M012,TRAIN,1
56,M012b,M012,TRAIN,1
57,M012c,M012,TRAIN,1
58,M012d,M012,TRAIN,1
59,M012e,M012,TRAIN,1
70,M015a,M015,TRAIN,2
71,M015b,M015,TRAIN,2
72,M015c,M015,TRAIN,2
73,M015d,M015,TRAIN,2
74,M015e,M015,TRAIN,2
75,M016a,M016,TRAIN,3
76,M016b,M016,TRAIN,3
77,M016c,M016,TRAIN,3
78,M016d,M016,TRAIN,3
79,M016e,M016,TRAIN,3
80,M017a,M017,TRAIN,4
81,M017b,M017,TRAIN,4
82,M017c,M017,TRAIN,4
83,M017d,M017,TRAIN,4
84,M017d,M017,TRAIN,4
85,M018a,M018,TRAIN,0
86,M018b,M018,TRAIN,0
87,M018c,M018,TRAIN,0
88,M018d,M018,TRAIN,0
89,M018e,M018,TRAIN,0
90,M019a,M019,TRAIN,1
91,M019b,M019,TRAIN,1
92,M019c,M019,TRAIN,1
93,M019d,M019,TRAIN,1
94,M019e,M019,TRAIN,1
95,M020a,M020,TRAIN,2
96,M020b,M020,TRAIN,2
97,M020c,M020,TRAIN,2
98,M020d,M020,TRAIN,2
99,M020e,M020,TRAIN,2
100,M021a,M021,TRAIN,3
101,M021b,M021,TRAIN,3
102,M021c,M021,TRAIN,3
103,M021d,M021,TRAIN,3
104,M021e,M021,TRAIN,3
105,M022a,M022,TRAIN,4
106,M022b,M022,TRAIN,4
107,M022c,M022,TRAIN,4
108,M022d,M022,TRAIN,4
109,M022e,M022,TRAIN,4
110,M023a,M023,TRAIN,3
111,M023b,M023,TRAIN,3
112,M023c,M023,TRAIN,3
113,M023d,M023,TRAIN,3
114,M023e,M023,TRAIN,3
115,M024a,M024,TRAIN,1
116,M024b,M024,TRAIN,1
