Mô_Hình_Hồi_Quy,R2_Train,R2_CV_5Fold,R2_Test,Adj_R2_Test,MAE_Test (hạt),MSE_Test (hạt²),RMSE_Test (hạt),MAPE_Test (%),Max_Error (hạt)
12. Gradient Boosting Regressor (Tuned),1.0,0.9998,0.9998,0.9994,0.61,1.46,1.21,0.52,4.56
13. XGBoost Regressor (Tuned),1.0,0.9996,0.9997,0.9993,0.68,1.74,1.32,0.59,4.71
11. Random Forest Regressor (Tuned),0.9999,0.9993,0.9994,0.9984,1.44,4.12,2.03,1.14,6.07
3. Lasso Regression (Tuned),0.9993,0.9992,0.999,0.9975,1.8,6.56,2.56,1.97,7.78
8. ARD Regression (Tuned),0.9993,0.9993,0.999,0.9974,1.79,6.7,2.59,1.97,8.44
2. Ordinary Least Squares (OLS),0.9994,0.8524,0.999,0.9973,1.91,7.09,2.66,2.02,8.32
4. Bayesian Ridge Regression (Tuned),0.9993,0.9985,0.9989,0.9972,1.9,7.32,2.71,2.14,7.74
10. Stacking (OLS+Ridge+BayesianRidge -> RidgeCV),0.9993,0.9987,0.9989,0.997,1.98,7.82,2.8,2.23,7.43
1. Ridge Regression (Tuned),0.9993,0.9989,0.9988,0.9968,2.1,8.37,2.89,2.32,7.31
7. PLS Regression (Tuned),0.9992,0.9989,0.9987,0.9967,2.27,8.64,2.94,2.32,6.66
6. ElasticNet (Tuned),0.9992,0.9991,0.9986,0.9963,2.41,9.63,3.1,2.49,7.01
5. Huber Regressor (Tuned),0.9991,0.9989,0.9979,0.9945,2.25,14.14,3.76,2.77,10.59
9. Kernel Ridge (Tuned),0.9966,0.9948,0.9939,0.984,5.22,41.36,6.43,4.39,13.7
