epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,7.32972,1.81678,3.37383,3.69723,0.00605,5.64329,0.00333,0.01706,0.00252,0.00132,0.00533,0.0273,0.0036,0.00148,1.45867,3.01447,3.48444,0.00619,0,2e-05,2e-05,2e-05
2,14.5151,1.93492,3.53919,3.66522,0.00607,5.97337,0.00267,0.01365,0.00303,0.00146,0.00533,0.0273,0.00446,0.00181,1.46313,3.04055,3.48553,0.00621,0,5.9406e-05,5.9406e-05,5.9406e-05
3,24.9282,2.09449,3.67472,3.70675,0.00641,5.97417,0.00267,0.01365,0.00303,0.00122,0.006,0.03072,0.00477,0.00223,1.47067,3.04187,3.48803,0.00627,0,9.802e-05,9.802e-05,9.802e-05
4,30.2515,1.95552,3.63105,3.66349,0.00639,5.89034,0.00133,0.00683,0.00069,0.00065,0.002,0.01024,0.00604,0.00318,1.51667,3.05388,3.49741,0.00661,0,0.000135842,0.000135842,0.000135842
5,36.2617,2.11968,3.72639,3.65893,0.0062,4.45698,0.00067,0.00341,0.00036,0.00028,0.002,0.01024,0.00103,0.00041,1.44768,2.96958,3.4951,0.00628,0,0.000172872,0.000172872,0.000172872
6,40.9658,1.70832,2.94486,3.56137,0.00489,3.54178,0.00067,0.00341,0.00034,7e-05,0,0,0,0,1.32327,2.81279,3.46928,0.00571,0,0.00020911,0.00020911,0.00020911
7,45.8196,1.84623,3.04103,3.50291,0.00537,2.64294,0.00333,0.01706,0.00221,0.00092,0.00467,0.02389,0.00261,0.00117,1.1789,2.50219,3.41464,0.00498,0,0.000244556,0.000244556,0.000244556
8,52.1933,1.71849,2.84256,3.43264,0.00467,2.29513,0.00467,0.02389,0.01107,0.00621,0.01133,0.05802,0.01607,0.00953,1.05023,2.44961,3.34442,0.00432,0,0.00027921,0.00027921,0.00027921
9,57.486,1.72778,2.90676,3.32444,0.00446,1.88071,0.00933,0.04778,0.01693,0.00975,0.01267,0.06485,0.02591,0.01456,1.0497,2.36872,3.29432,0.00432,0,0.000313072,0.000313072,0.000313072
10,61.9934,1.57718,2.47072,3.16917,0.00425,1.91843,0.01267,0.06485,0.0323,0.02036,0.01933,0.09898,0.04278,0.02409,1.06632,2.32904,3.23168,0.00432,0,0.000346142,0.000346142,0.000346142
11,66.7418,1.57619,2.62853,3.11431,0.00501,2.0954,0.01333,0.06826,0.02791,0.01871,0.02067,0.1058,0.03973,0.02283,1.05852,2.3097,3.23005,0.00428,0,0.00037842,0.00037842,0.00037842
12,72.0744,1.54849,2.43845,3.16519,0.00404,1.72801,0.02067,0.1058,0.06254,0.04015,0.026,0.13311,0.06835,0.04081,1.09292,2.19941,3.14571,0.00442,0,0.000409906,0.000409906,0.000409906
13,76.7236,1.64224,2.63282,3.03466,0.00429,1.45731,0.02667,0.13652,0.08471,0.05175,0.03,0.15358,0.0898,0.05218,1.08658,2.16906,3.08436,0.00446,0,0.0004406,0.0004406,0.0004406
14,80.5428,1.58236,2.53642,2.95825,0.00424,1.72113,0.03067,0.157,0.09891,0.06139,0.03133,0.16041,0.09956,0.06116,1.09549,2.36968,3.04303,0.00459,0,0.000470502,0.000470502,0.000470502
15,86.7392,1.46875,2.29229,2.7904,0.00414,1.49194,0.03733,0.19113,0.126,0.0701,0.03533,0.18089,0.11229,0.06729,1.14476,2.63174,3.0254,0.00485,0,0.000499612,0.000499612,0.000499612
