epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6992,2.14725,4.06927,4.43487,1.47046,0,0.15982,0.1269,0.02727,0.01353,0.16293,0.13015,0.02729,0.01467,1.64989,2.67639,5.09109,1.13349,0,0.00075,0.00075,0.09325
2,19.2903,2.14785,3.94506,4.2985,1.48358,0,0.15886,0.12229,0.02718,0.0132,0.16168,0.12446,0.02839,0.01379,1.63104,2.72947,5.10608,1.13411,0,0.00173845,0.00173845,0.0842385
3,23.8063,1.94206,3.80959,3.45936,1.38128,0,0.20471,0.18764,0.05963,0.02816,0.20358,0.18764,0.05781,0.02643,1.3968,2.61468,4.17817,1.05313,0,0.0027137,0.0027137,0.0752137
4,27.9759,1.61565,3.28279,2.73151,1.24365,0,0.61877,0.5564,0.60617,0.431,0.60744,0.54121,0.57288,0.29356,0.98018,2.17754,0.93536,0.91551,0,0.00367575,0.00367575,0.0661758
5,31.6646,1.20981,2.58052,1.49172,1.02734,0,0.77612,0.73319,0.70891,0.45589,0.7256,0.68547,0.60491,0.25036,1.07879,2.15285,3.61275,0.91017,0,0.0046246,0.0046246,0.0571246
6,37.7568,1.15814,2.29453,1.9628,0.96889,0,0.85251,0.75813,0.83524,0.58873,0.83795,0.73102,0.79209,0.3881,1.05631,2.03131,0.80785,0.89704,0,0.00556025,0.00556025,0.0480602
7,41.5043,1.1174,2.31406,1.03738,0.97237,0,0.85251,0.75813,0.83524,0.58873,0.83795,0.73102,0.79209,0.3881,1.05631,2.03131,0.80785,0.89704,0,0.0064827,0.0064827,0.0389827
8,45.3032,1.05143,3.95809,1.02098,0.95043,0,0.74965,0.85092,0.84739,0.51045,0.58194,0.37744,0.28304,0.11435,1.19383,7.05651,2.46896,0.91363,0,0.00739195,0.00739195,0.029892
9,49.8392,1.13174,6.32656,1.06732,0.96196,0,0.74965,0.85092,0.84739,0.51045,0.58194,0.37744,0.28304,0.11435,1.19383,7.05651,2.46896,0.91363,0,0.008288,0.008288,0.020788
10,54.0363,1.07207,3.25179,0.92071,0.96351,0,0.81901,0.78742,0.83012,0.53799,0.76591,0.73427,0.74271,0.35009,1.1319,2.41636,1.7597,0.92247,0,0.00917085,0.00917085,0.0116708
11,57.6786,1.12941,2.5552,1.02543,0.965,0,0.81901,0.78742,0.83012,0.53799,0.76591,0.73427,0.74271,0.35009,1.1319,2.41636,1.7597,0.92247,0,0.00934,0.00934,0.00934
